control
([50, 'mae', 10, 50, True, 10], 0.0080025463778001828)
([50, 'mae', 10, 50, True, 50], 0.019745866155343988)
([50, 'mae', 10, 50, False, 1], 0.0090117068066296671)
([50, 'mae', 10, 50, False, 10], 0.0090117068066296671)
([50, 'mae', 10, 50, False, 50], 0.014011996370374275)
([50, 'mae', 20, 2, True, 1], 0.0013756145480103069)
([50, 'mae', 20, 2, True, 10], 0.0049626843090433892)
([50, 'mae', 20, 2, True, 50], 0.019552063192866179)
([50, 'mae', 20, 2, False, 1], 0.0012917755714696286)
([50, 'mae', 20, 2, False, 10], 0.005734312929614821)
([50, 'mae', 20, 2, False, 50], 0.014011996370374275)
([50, 'mae', 20, 10, True, 1], 0.0018276583176710965)
([50, 'mae', 20, 10, True, 10], 0.004975353440408216)
([50, 'mae', 20, 10, True, 50], 0.019009824645920048)
([50, 'mae', 20, 10, False, 1], 0.0015095446679586708)
([50, 'mae', 20, 10, False, 10], 0.005734312929614821)
([50, 'mae', 20, 10, False, 50], 0.014011996370374275)
([50, 'mae', 20, 50, True, 1], 0.007872145117834654)
([50, 'mae', 20, 50, True, 10], 0.0076490861508038948)
([50, 'mae', 20, 50, True, 50], 0.018328967717661002)
([50, 'mae', 20, 50, False, 1], 0.0090117068066296671)
([50, 'mae', 20, 50, False, 10], 0.0090117068066296671)
([50, 'mae', 20, 50, False, 50], 0.014011996370374275)
([50, 'mae', None, 2, True, 1], 0.0014163886943465204)
([50, 'mae', None, 2, True, 10], 0.0046887414084004998)
([50, 'mae', None, 2, True, 50], 0.018636211058377473)
([50, 'mae', None, 2, False, 1], 0.0013917367034781984)
([50, 'mae', None, 2, False, 10], 0.005734312929614821)
([50, 'mae', None, 2, False, 50], 0.014011996370374275)
([50, 'mae', None, 10, True, 1], 0.0016269088721097176)
([50, 'mae', None, 10, True, 10], 0.004471753126959882)
([50, 'mae', None, 10, True, 50], 0.018056482246961287)
([50, 'mae', None, 10, False, 1], 0.0015139876361981055)
([50, 'mae', None, 10, False, 10], 0.005734312929614821)
([50, 'mae', None, 10, False, 50], 0.014011996370374275)
