control
([10, 'mse', 20, 10, True, 10], 0.0068924158771395206)
([10, 'mse', 20, 10, True, 50], 0.04387899681529151)
([10, 'mse', 20, 10, False, 1], 0.004297185397117657)
([10, 'mse', 20, 10, False, 10], 0.00673756735849246)
([10, 'mse', 20, 10, False, 50], 0.039098604987500174)
([10, 'mse', 20, 50, True, 1], 0.024181289278878547)
([10, 'mse', 20, 50, True, 10], 0.024314159002567174)
([10, 'mse', 20, 50, True, 50], 0.04341577887808013)
([10, 'mse', 20, 50, False, 1], 0.02021722388293119)
([10, 'mse', 20, 50, False, 10], 0.020217223882931186)
([10, 'mse', 20, 50, False, 50], 0.03909860498750018)
([10, 'mse', None, 2, True, 1], 0.0019725944129788033)
([10, 'mse', None, 2, True, 10], 0.007774714769015553)
([10, 'mse', None, 2, True, 50], 0.04291775963776069)
([10, 'mse', None, 2, False, 1], 0.0016275049897838617)
([10, 'mse', None, 2, False, 10], 0.006737567358492462)
([10, 'mse', None, 2, False, 50], 0.03909860498750017)
([10, 'mse', None, 10, True, 1], 0.003114197184684083)
([10, 'mse', None, 10, True, 10], 0.008109885778924408)
([10, 'mse', None, 10, True, 50], 0.04799563954852652)
([10, 'mse', None, 10, False, 1], 0.0042971853971176584)
([10, 'mse', None, 10, False, 10], 0.006737567358492463)
([10, 'mse', None, 10, False, 50], 0.039098604987500174)
([10, 'mse', None, 50, True, 1], 0.02400150840751701)
([10, 'mse', None, 50, True, 10], 0.023627654128098162)
([10, 'mse', None, 50, True, 50], 0.043497334302410276)
([10, 'mse', None, 50, False, 1], 0.020217223882931217)
([10, 'mse', None, 50, False, 10], 0.020217223882931186)
([10, 'mse', None, 50, False, 50], 0.03909860498750017)
([10, 'mae', 10, 2, True, 1], 0.0019787012653446007)
([10, 'mae', 10, 2, True, 10], 0.006763471759356925)
([10, 'mae', 10, 2, True, 50], 0.04349007797945604)
([10, 'mae', 10, 2, False, 1], 0.0015215904763218064)
([10, 'mae', 10, 2, False, 10], 0.006352925947945045)
([10, 'mae', 10, 2, False, 50], 0.034212828714001664)
([10, 'mae', 10, 10, True, 1], 0.003040147882845387)
([10, 'mae', 10, 10, True, 10], 0.007390116647612891)
([10, 'mae', 10, 10, True, 50], 0.046354952677516825)
([10, 'mae', 10, 10, False, 1], 0.0034140981080452103)
([10, 'mae', 10, 10, False, 10], 0.006352925947945045)
([10, 'mae', 10, 10, False, 50], 0.034212828714001664)
([10, 'mae', 10, 50, True, 1], 0.02232829601340055)
([10, 'mae', 10, 50, True, 10], 0.021506009820991833)
([10, 'mae', 10, 50, True, 50], 0.04087505903517014)
([10, 'mae', 10, 50, False, 1], 0.016160237195212236)
([10, 'mae', 10, 50, False, 10], 0.016160237195212236)
([10, 'mae', 10, 50, False, 50], 0.034212828714001664)
([10, 'mae', 20, 2, True, 1], 0.0022935994853485755)
([10, 'mae', 20, 2, True, 10], 0.00667978038441486)
([10, 'mae', 20, 2, True, 50], 0.03765147531555875)
([10, 'mae', 20, 2, False, 1], 0.001544073601300589)
([10, 'mae', 20, 2, False, 10], 0.006352925947945045)
([10, 'mae', 20, 2, False, 50], 0.034212828714001664)
([10, 'mae', 20, 10, True, 1], 0.0035731996215853557)
([10, 'mae', 20, 10, True, 10], 0.006361752910792863)
([10, 'mae', 20, 10, True, 50], 0.03909559668971581)
([10, 'mae', 20, 10, False, 1], 0.0034140981080452103)
([10, 'mae', 20, 10, False, 10], 0.006352925947945045)
([10, 'mae', 20, 10, False, 50], 0.034212828714001664)
([10, 'mae', 20, 50, True, 1], 0.024688428790671523)
([10, 'mae', 20, 50, True, 10], 0.021296109202054773)
([10, 'mae', 20, 50, True, 50], 0.03830658992920797)
([10, 'mae', 20, 50, False, 1], 0.016160237195212236)
([10, 'mae', 20, 50, False, 10], 0.016160237195212236)
([10, 'mae', 20, 50, False, 50], 0.034212828714001664)
([10, 'mae', None, 2, True, 1], 0.0013988373304896417)
([10, 'mae', None, 2, True, 10], 0.0073772358952576235)
([10, 'mae', None, 2, True, 50], 0.03943908673125495)
([10, 'mae', None, 2, False, 1], 0.001503932256806197)
([10, 'mae', None, 2, False, 10], 0.006352925947945045)
([10, 'mae', None, 2, False, 50], 0.034212828714001664)
([10, 'mae', None, 10, True, 1], 0.0032963424904878425)
([10, 'mae', None, 10, True, 10], 0.008111206609357937)
([10, 'mae', None, 10, True, 50], 0.04198499603419117)
([10, 'mae', None, 10, False, 1], 0.0034140981080452103)
([10, 'mae', None, 10, False, 10], 0.006352925947945045)
([10, 'mae', None, 10, False, 50], 0.034212828714001664)
([10, 'mae', None, 50, True, 1], 0.018936626017859955)
([10, 'mae', None, 50, True, 10], 0.02537838040464092)
([10, 'mae', None, 50, True, 50], 0.041000626673437034)
([10, 'mae', None, 50, False, 1], 0.016160237195212236)
([10, 'mae', None, 50, False, 10], 0.016160237195212236)
([10, 'mae', None, 50, False, 50], 0.034212828714001664)
([50, 'mse', 10, 2, True, 1], 0.0017343138262262913)
([50, 'mse', 10, 2, True, 10], 0.00679592703148477)
([50, 'mse', 10, 2, True, 50], 0.04340738633124965)
([50, 'mse', 10, 2, False, 1], 0.0016487139039255267)
([50, 'mse', 10, 2, False, 10], 0.006737567358492552)
([50, 'mse', 10, 2, False, 50], 0.03909860498750015)
([50, 'mse', 10, 10, True, 1], 0.002623709802466525)
([50, 'mse', 10, 10, True, 10], 0.006310358473327321)
([50, 'mse', 10, 10, True, 50], 0.042043613150831494)
([50, 'mse', 10, 10, False, 1], 0.004297185397117575)
([50, 'mse', 10, 10, False, 10], 0.006737567358492565)
([50, 'mse', 10, 10, False, 50], 0.03909860498750015)
([50, 'mse', 10, 50, True, 1], 0.022250865345117374)
([50, 'mse', 10, 50, True, 10], 0.02425343464168271)
([50, 'mse', 10, 50, True, 50], 0.042915221488821736)
([50, 'mse', 10, 50, False, 1], 0.020217223882931262)
([50, 'mse', 10, 50, False, 10], 0.020217223882931266)
([50, 'mse', 10, 50, False, 50], 0.03909860498750015)
([50, 'mse', 20, 2, True, 1], 0.0020532762500403965)
([50, 'mse', 20, 2, True, 10], 0.006857071469674558)
([50, 'mse', 20, 2, True, 50], 0.04470036946461125)
([50, 'mse', 20, 2, False, 1], 0.0016128622944929045)
([50, 'mse', 20, 2, False, 10], 0.006737567358492574)
([50, 'mse', 20, 2, False, 50], 0.03909860498750015)
([50, 'mse', 20, 10, True, 1], 0.0027141379382263253)
([50, 'mse', 20, 10, True, 10], 0.006889649458200139)
([50, 'mse', 20, 10, True, 50], 0.042782449169146426)
([50, 'mse', 20, 10, False, 1], 0.004297185397117575)
([50, 'mse', 20, 10, False, 10], 0.006737567358492552)
([50, 'mse', 20, 10, False, 50], 0.03909860498750017)
([50, 'mse', 20, 50, True, 1], 0.02238975420595865)
([50, 'mse', 20, 50, True, 10], 0.023524603559612004)
([50, 'mse', 20, 50, True, 50], 0.04309500706733242)
([50, 'mse', 20, 50, False, 1], 0.02021722388293127)
([50, 'mse', 20, 50, False, 10], 0.020217223882931252)
([50, 'mse', 20, 50, False, 50], 0.03909860498750017)
